yearstart,yearend,locationabbr,datasource,question,datavalueunit,datavaluetype,datavalue,stratificationcategory1,stratification1,:@computed_region_skr5_azej,:@computed_region_hjsp_umg2
2021,2021,WY,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,44.3,Race/Ethnicity,"White, non-Hispanic",3084.0,14.0
2022,2022,HI,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,3.0,Overall,Overall,1657.0,4.0
2022,2022,DE,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,5.1,Sex,Male,1046.0,43.0
2021,2021,WY,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,140.3,Overall,Overall,3084.0,14.0
2021,2021,WY,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,1.62,Sex,Male,3084.0,14.0
2021,2021,WY,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,384.1,Overall,Overall,3084.0,14.0
2021,2021,WI,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,73.18,Race/Ethnicity,"White, non-Hispanic",3078.0,41.0
2021,2021,WY,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,35.74,Overall,Overall,3084.0,14.0
2022,2022,DE,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,6.3,Race/Ethnicity,"White, non-Hispanic",1046.0,43.0
2022,2022,CT,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,4.4,Race/Ethnicity,"Black, non-Hispanic",1043.0,24.0
2022,2022,AL,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,16.7,Age,Age >=65,94.0,29.0
2021,2021,WI,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,75.16,Overall,Overall,3078.0,41.0
2022,2022,DC,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,4.4,Sex,Female,1049.0,44.0
2021,2021,WI,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,5.9,Age,Age 45-64,3078.0,41.0
2022,2022,GA,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,6.7,Race/Ethnicity,"White, non-Hispanic",1149.0,31.0
2021,2021,WI,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Age-adjusted Rate,364.7,Race/Ethnicity,"Black, non-Hispanic",3078.0,41.0
2021,2021,WI,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Age-adjusted Rate,285.4,Sex,Male,3078.0,41.0
2022,2022,HI,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,4.2,Race/Ethnicity,Hispanic,1657.0,4.0
2022,2022,FL,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,7.7,Age,Age 45-64,1112.0,30.0
2022,2022,GA,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,2.9,Age,Age 18-44,1149.0,31.0
2021,2021,WY,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,5.4,Sex,Male,3084.0,14.0
2022,2022,AR,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,9.1,Race/Ethnicity,"Black, non-Hispanic",998.0,15.0
2021,2021,WY,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,35.86,Race/Ethnicity,"White, non-Hispanic",3084.0,14.0
2022,2022,FL,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,7.1,Race/Ethnicity,"White, non-Hispanic",1112.0,30.0
