locationabbr,year,COPD_Prevalence_overall,COPD_Prevalence_sex_diff,COPD_Prevalence_race_diff,Smoking_Rate_overall,Smoking_Rate_sex_diff,Smoking_Rate_race_diff,Mortality_Underlying_overall,Mortality_Underlying_sex_diff,Mortality_Underlying_race_diff,Mortality_Any_Cause_overall,Mortality_Any_Cause_sex_diff,Mortality_Any_Cause_race_diff,Hospitalization_Any_Dx_overall,Hospitalization_Any_Dx_sex_diff,Hospitalization_Any_Dx_race_diff,Hospitalization_Principal_Dx_overall,Hospitalization_Principal_Dx_sex_diff,Hospitalization_Principal_Dx_race_diff,COPD_Prevalence_yoy_change,Smoking_Rate_yoy_change,Mortality_Underlying_yoy_change,Mortality_Any_Cause_yoy_change,Hospitalization_Any_Dx_yoy_change,Hospitalization_Principal_Dx_yoy_change,Smoking_vs_Prevalence_Diff,Mortality_Any_vs_Underlying_Diff
MT,2022,57.0,-21.0,-0.3037037037037037,392.02515723270443,8.953333333333333,-84.79245283018868,1.0780064102564104,0.18850000000000003,-0.40193805309734515,2.453153846153846,0.7915128205128206,-0.5061056910569106,80.58839743589745,8.322179487179486,41.799090909090914,5.83576923076923,-0.6416025641025641,4.654876033057851,7.0,0.0,0.0,0.0,0.0,0.0,331.4842767295597,1.375147435897436
NC,2019,70.0,-13.0,-8.0,459.0,317.0,-171.0,1.156,0.15600000000000014,-0.5289999999999999,2.277,0.7080000000000002,-0.8250000000000002,103.32,9.909999999999997,24.42,10.32,-0.8900000000000006,3.469999999999999,0.0,0.0,0.0,0.0,0.0,0.0,389.0,1.1210000000000002
NC,2020,57.0,-7.0,-30.0,355.0,-58.0,93.0,1.062,0.20700000000000007,-0.42300000000000004,2.299,0.724,-0.6859999999999999,89.24,9.989999999999995,33.400000000000006,6.46,-0.09999999999999964,3.51,-13.0,-104.0,-0.09399999999999986,0.021999999999999797,-14.079999999999998,-3.8600000000000003,298.0,1.2369999999999999
NC,2021,68.0,-22.0,17.0,350.0,129.0,-95.0,1.01,0.18700000000000006,-0.48,2.406,0.7429999999999999,-0.9129999999999998,90.63,7.700000000000003,38.00999999999999,5.72,-1.1600000000000001,3.2700000000000005,11.0,-5.0,-0.052000000000000046,0.1070000000000002,1.3900000000000006,-0.7400000000000002,282.0,1.3960000000000001
NC,2022,67.0,-19.0,-21.0,392.02515723270443,8.953333333333333,-84.79245283018868,1.0780064102564104,0.18850000000000003,-0.40193805309734515,2.453153846153846,0.7915128205128206,-0.5061056910569106,80.58839743589745,8.322179487179486,41.799090909090914,5.83576923076923,-0.6416025641025641,4.654876033057851,-1.0,0.0,0.0,0.0,0.0,0.0,331.4842767295597,1.375147435897436
ND,2019,49.0,1.0,-0.3037037037037037,283.0,-66.0,-84.79245283018868,0.976,0.32299999999999995,-0.40193805309734515,2.16,0.9730000000000001,-0.5061056910569106,62.85,18.179999999999993,9.009999999999998,4.78,-0.6399999999999997,4.654876033057851,0.0,0.0,0.0,0.0,0.0,0.0,234.0,1.1840000000000002
ND,2020,54.0,-14.0,-0.3037037037037037,437.0,-11.0,-84.79245283018868,0.966,0.30900000000000016,-0.40193805309734515,2.544,1.3660000000000003,-0.5061056910569106,56.06,16.229999999999997,27.220000000000006,2.61,-0.45999999999999996,4.654876033057851,5.0,154.0,-0.010000000000000009,0.3839999999999999,-6.789999999999999,-2.1700000000000004,383.0,1.578
ND,2021,46.0,-6.0,-0.3037037037037037,412.0,89.0,-84.79245283018868,0.924,0.16399999999999992,-0.40193805309734515,2.4080000000000004,0.9159999999999995,-0.5061056910569106,56.93,11.57,0.8900000000000006,3.11,-0.06000000000000005,4.654876033057851,-8.0,-25.0,-0.041999999999999926,-0.13599999999999968,0.8699999999999974,0.5,366.0,1.4840000000000004
ND,2022,53.0,-2.0,-52.0,392.02515723270443,8.953333333333333,-84.79245283018868,1.0780064102564104,0.18850000000000003,-0.40193805309734515,2.453153846153846,0.7915128205128206,-0.5061056910569106,80.58839743589745,8.322179487179486,41.799090909090914,5.83576923076923,-0.6416025641025641,4.654876033057851,7.0,0.0,0.0,0.0,0.0,0.0,331.4842767295597,1.375147435897436
NE,2019,52.0,-17.0,52.0,331.0,1.0,-84.79245283018868,1.268,0.34799999999999986,-0.374,2.765,1.0829999999999997,0.052000000000000046,63.97,15.829999999999998,76.05000000000001,4.9,0.3100000000000005,5.540000000000001,0.0,0.0,0.0,0.0,0.0,0.0,279.0,1.497
NE,2020,47.0,-8.0,24.0,380.0,58.0,-84.79245283018868,1.199,0.367,0.28500000000000014,3.0,1.245,0.8069999999999995,52.83,13.82,74.21,2.65,0.06999999999999984,8.09,-5.0,49.0,-0.06899999999999995,0.23499999999999988,-11.14,-2.2500000000000004,333.0,1.801
NE,2021,51.0,-7.0,-0.3037037037037037,434.0,-34.0,-84.79245283018868,1.108,0.277,0.06600000000000006,2.9989999999999997,1.2360000000000002,0.5900000000000003,52.92,11.64,78.30000000000001,2.32,-0.1499999999999999,8.78,4.0,54.0,-0.09099999999999997,-0.001000000000000334,0.09000000000000341,-0.33000000000000007,383.0,1.8909999999999996
NE,2022,50.0,-4.0,-0.3037037037037037,392.02515723270443,8.953333333333333,-84.79245283018868,1.0780064102564104,0.18850000000000003,-0.40193805309734515,2.453153846153846,0.7915128205128206,-0.5061056910569106,80.58839743589745,8.322179487179486,41.799090909090914,5.83576923076923,-0.6416025641025641,4.654876033057851,-1.0,0.0,0.0,0.0,0.0,0.0,331.4842767295597,1.375147435897436
NH,2019,54.0,-8.0,-0.3037037037037037,422.0,-86.0,-84.79245283018868,1.1,0.09800000000000009,-0.40193805309734515,2.22,0.5910000000000004,-0.5061056910569106,63.0,4.8700000000000045,23.720000000000006,5.2,-0.6600000000000001,4.654876033057851,0.0,0.0,0.0,0.0,0.0,0.0,368.0,1.12
NH,2020,57.0,-3.0,-0.3037037037037037,515.0,166.0,-84.79245283018868,0.927,0.008999999999999897,-0.40193805309734515,2.146,0.6820000000000002,-0.5061056910569106,52.09,4.719999999999999,3.6700000000000017,3.62,-0.52,4.654876033057851,3.0,93.0,-0.17300000000000004,-0.07400000000000029,-10.909999999999997,-1.58,458.0,1.2189999999999999
NH,2021,63.0,-19.0,-0.3037037037037037,390.0,8.953333333333333,-84.79245283018868,0.9870000000000001,0.14900000000000002,-0.40193805309734515,2.3930000000000002,0.5889999999999995,-0.5061056910569106,51.77,1.9499999999999957,25.39,2.83,-0.6100000000000003,4.654876033057851,6.0,-125.0,0.06000000000000005,0.24700000000000033,-0.3200000000000003,-0.79,327.0,1.4060000000000001
NH,2022,56.0,-16.0,-0.3037037037037037,392.02515723270443,8.953333333333333,-84.79245283018868,1.0780064102564104,0.18850000000000003,-0.40193805309734515,2.453153846153846,0.7915128205128206,-0.5061056910569106,80.58839743589745,8.322179487179486,41.799090909090914,5.83576923076923,-0.6416025641025641,4.654876033057851,-7.0,0.0,0.0,0.0,0.0,0.0,331.4842767295597,1.375147435897436
NJ,2019,60.967289719626166,-10.94811320754717,-0.3037037037037037,392.02515723270443,8.953333333333333,-84.79245283018868,0.711,0.06000000000000005,-0.10799999999999998,1.449,0.375,-0.09899999999999998,82.57,12.810000000000002,50.7,8.87,-0.9599999999999991,9.24,0.0,0.0,0.0,0.0,0.0,0.0,331.4842767295597,0.7380000000000001
NJ,2020,44.0,-15.0,2.0,335.0,189.0,-64.0,0.674,0.050000000000000044,-0.11199999999999988,1.5390000000000001,0.39800000000000013,0.026000000000000023,68.24,12.190000000000005,47.09,5.2,0.040000000000000036,5.459999999999999,0.0,0.0,-0.03699999999999992,0.09000000000000008,-14.329999999999998,-3.669999999999999,291.0,0.8650000000000001
NJ,2021,48.0,-11.0,3.0,302.0,-128.0,-153.0,0.559,0.07099999999999995,-0.2260000000000001,1.326,0.39300000000000024,-0.30600000000000005,73.23,12.08999999999999,50.43000000000001,5.68,-0.5999999999999996,6.35,4.0,-33.0,-0.11499999999999999,-0.21300000000000008,4.990000000000009,0.47999999999999954,254.0,0.767
NJ,2022,49.0,-5.0,2.0,392.02515723270443,8.953333333333333,-84.79245283018868,1.0780064102564104,0.18850000000000003,-0.40193805309734515,2.453153846153846,0.7915128205128206,-0.5061056910569106,80.58839743589745,8.322179487179486,41.799090909090914,5.83576923076923,-0.6416025641025641,4.654876033057851,1.0,0.0,0.0,0.0,0.0,0.0,331.4842767295597,1.375147435897436
NM,2019,50.0,3.0,-0.3037037037037037,345.0,80.0,-84.79245283018868,1.113,0.23099999999999987,-0.40193805309734515,2.1550000000000002,0.7770000000000001,-0.10000000000000009,67.55,7.310000000000002,2.489999999999995,5.87,-0.2699999999999996,1.1799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,295.0,1.0420000000000003
NM,2020,43.0,-6.0,-0.3037037037037037,324.0,52.0,-84.79245283018868,1.131,0.3250000000000002,0.029000000000000137,2.463,0.9889999999999999,0.23899999999999988,55.44,6.030000000000001,10.509999999999998,3.43,-0.03000000000000025,4.654876033057851,-7.0,-21.0,0.018000000000000016,0.30799999999999983,-12.11,-2.44,281.0,1.332
NM,2021,48.0,-16.0,-0.3037037037037037,473.0,-142.0,-84.79245283018868,1.0190000000000001,0.2330000000000001,-0.40193805309734515,2.3000000000000003,0.8999999999999999,-0.37900000000000045,56.71,7.230000000000004,12.559999999999995,3.29,0.25,4.654876033057851,5.0,149.0,-0.11199999999999988,-0.1629999999999998,1.2700000000000031,-0.14000000000000012,425.0,1.2810000000000001
NM,2022,48.0,-11.0,-0.3037037037037037,392.02515723270443,8.953333333333333,-84.79245283018868,1.0780064102564104,0.18850000000000003,-0.40193805309734515,2.453153846153846,0.7915128205128206,-0.5061056910569106,80.58839743589745,8.322179487179486,41.799090909090914,5.83576923076923,-0.6416025641025641,4.654876033057851,0.0,0.0,0.0,0.0,0.0,0.0,331.4842767295597,1.375147435897436
NV,2019,73.0,-9.0,28.0,404.0,94.0,-84.79245283018868,1.328,0.08100000000000018,-0.88,2.361,0.49100000000000055,-1.0910000000000002,99.43,-12.370000000000005,61.17,7.39,-3.25,6.699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1.0330000000000001
NV,2020,65.0,7.0,-0.3037037037037037,282.0,-33.0,-84.79245283018868,1.237,0.07099999999999995,-0.5329999999999999,2.466,0.47699999999999987,-0.875,85.34,-10.289999999999992,59.61,4.61,-1.7599999999999998,4.199999999999999,-8.0,-122.0,-0.09099999999999997,0.10499999999999998,-14.090000000000003,-2.7799999999999994,217.0,1.229
