locationabbr,year,COPD_Prevalence_overall_z,COPD_Prevalence_sex_diff_z,COPD_Prevalence_race_diff_z,Smoking_Rate_overall_z,Smoking_Rate_sex_diff_z,Smoking_Rate_race_diff_z,Mortality_Underlying_overall_z,Mortality_Underlying_sex_diff_z,Mortality_Underlying_race_diff_z,Mortality_Any_Cause_overall_z,Mortality_Any_Cause_sex_diff_z,Mortality_Any_Cause_race_diff_z,Hospitalization_Any_Dx_overall_z,Hospitalization_Any_Dx_sex_diff_z,Hospitalization_Any_Dx_race_diff_z,Hospitalization_Principal_Dx_overall_z,Hospitalization_Principal_Dx_sex_diff_z,Hospitalization_Principal_Dx_race_diff_z,COPD_Prevalence_yoy_change_z,Smoking_Rate_yoy_change_z,Mortality_Underlying_yoy_change_z,Mortality_Any_Cause_yoy_change_z,Hospitalization_Any_Dx_yoy_change_z,Hospitalization_Principal_Dx_yoy_change_z,Smoking_vs_Prevalence_Diff_z,Mortality_Any_vs_Underlying_Diff_z
OR,2019,-0.3456685070349446,-1.0358737361109978,-9.340164453865598e-18,0.05172836380265108,-0.27191671531764905,0.0,-0.09073883983818624,-0.19322641373976066,5.060717925350181e-16,0.042380653148484035,-0.2557606808606756,-0.20064157530646312,-0.00036587802058568836,-1.1289401914281556,-0.04840325082812161,-0.29394953432781784,-1.5584098786334812,1.294343307475033,-0.0598587864909568,0.19863193413443037,0.4297895386848198,-0.4196111162651748,0.4022933359531351,0.5523798848954252,0.1347912057161854,0.12314616735635364
OR,2020,-0.5773773888062153,1.0225232837416702,-9.340164453865598e-18,-0.1825225494935331,-1.9589596515868684,0.0,-0.5206422203365155,-0.21530943245287484,5.060717925350181e-16,0.032146315855661016,0.19118689413755954,-0.6220321079177069,-0.6155772013064684,-1.6426298878654109,-0.19848123545855698,-1.1317294000316036,-0.015069882195392615,-0.3420280284205325,-0.8702546651377565,-0.13034441850979556,-1.618372849562791,-0.4649633371339254,-1.8390913269556965,-0.8197798114629454,-0.0635202443328759,0.38821148779598813
OR,2021,-0.46152294792057996,-0.5212744811478307,-9.340164453865598e-18,-1.0284286252853094,0.06549187193619484,0.0,-0.5561388297354597,0.8115509377069915,5.060717925350181e-16,0.5080429999719139,1.0592966071148981,0.18333577917574606,-0.670039960095941,-1.6284730852076925,0.6126220542032041,-1.3576014226478204,0.12849662910117393,1.202322425505355,0.34533915283244304,-0.9893382281919411,0.2606752130496979,1.6892671541316528,0.20387047273528533,0.18243486872037415,-1.0125821838533837,1.1293650051417647
OR,2022,-0.17188684570649157,0.7652236562600868,-9.340164453865598e-18,0.0,0.0,0.0,0.0,3.0646344785661155e-16,5.060717925350181e-16,0.0,0.0,2.1861564096451463e-16,6.191698820370289e-16,0.0,0.0,-3.64753920184986e-16,0.0,0.0,0.9531360618175427,0.19863193413443037,0.4297895386848198,-0.4196111162651748,0.4022933359531351,0.5523798848954252,-8.051929157166427e-16,5.714206248188894e-16
PA,2019,0.11774925650759682,-0.13532503992545547,0.8022348779100242,0.20789563933344052,0.44183221925779,4.613643544263509,-0.5166981526255212,0.18218490438320292,1.1301734172823497,-0.9469386184910371,-0.7499815570606476,0.46098094318595845,1.7049720251953804,2.3394764597131696,1.417926876276971,2.2440306470689446,-0.10479895175574551,2.542626575933264,-0.0598587864909568,0.19863193413443037,0.4297895386848198,-0.4196111162651748,0.4022933359531351,0.5523798848954252,0.19145162001591723,-1.0915220971825574
PA,2020,0.1756764769504145,-0.907223922370206,-0.5438246790182402,0.8195508018290326,0.623513766240629,0.0,-0.706013402753226,0.12697735760041434,1.4492536803620295,-0.5750910301851482,-0.23427281667806957,1.0123330419296412,0.992599140229079,2.108922816430303,1.5628885659768232,0.46990857851975154,0.6489252325512265,1.8944794942337977,0.14274018317074313,1.057625743816576,-0.4721535313691748,1.2281862419660359,-2.1930777149363387,-2.3533700603340657,0.843046384462833,-0.40698447352291706
PA,2021,-0.05603240482085621,1.4084727249640454,-0.5999104938902512,-0.33868982502432254,1.7395575548494975,0.0,-0.9663218716788201,-0.23739245116599272,1.453811969834597,-0.721783198048939,-0.31592670057197747,0.34677229416048094,1.2230855354261267,1.8399435659336296,1.8094939816309248,0.3631327132829943,0.2182256986615284,2.254561206289056,-0.8702546651377565,-1.427973365050909,-0.8103821826394227,-1.0696596153839082,1.242018893091074,0.37749678633994616,-0.3609874194064679,-0.45845346778303986
PA,2022,0.29153091783604984,-1.0358737361109978,2.316551879454322,0.0,0.0,0.0,0.0,3.0646344785661155e-16,5.060717925350181e-16,0.0,0.0,2.1861564096451463e-16,6.191698820370289e-16,0.0,0.0,-3.64753920184986e-16,0.0,0.0,1.1557350314792427,0.19863193413443037,0.4297895386848198,-0.4196111162651748,0.4022933359531351,0.5523798848954252,-8.051929157166427e-16,5.714206248188894e-16
PR,2019,-0.9249407114631214,0.3792742150377115,-9.340164453865598e-18,-3.279840180854191,1.7006257947817462,0.0,0.0,3.0646344785661155e-16,5.060717925350181e-16,0.0,0.0,2.1861564096451463e-16,6.191698820370289e-16,0.0,0.0,-3.64753920184986e-16,0.0,0.0,-0.0598587864909568,0.19863193413443037,0.4297895386848198,-0.4196111162651748,0.4022933359531351,0.5523798848954252,-3.3498242737173207,5.714206248188894e-16
PR,2020,-0.5773773888062153,0.25062440129691976,-9.340164453865598e-18,-3.2147704827163617,0.0,0.0,0.0,3.0646344785661155e-16,5.060717925350181e-16,0.0,0.0,2.1861564096451463e-16,6.191698820370289e-16,0.0,0.0,-3.64753920184986e-16,0.0,0.0,1.1557350314792427,0.290014254313382,0.4297895386848198,-0.4196111162651748,0.4022933359531351,0.5523798848954252,-3.3639893772922536,5.714206248188894e-16
