locationabbr,year,COPD_Prevalence_overall_z,COPD_Prevalence_sex_diff_z,COPD_Prevalence_race_diff_z,Smoking_Rate_overall_z,Smoking_Rate_sex_diff_z,Smoking_Rate_race_diff_z,Mortality_Underlying_overall_z,Mortality_Underlying_sex_diff_z,Mortality_Underlying_race_diff_z,Mortality_Any_Cause_overall_z,Mortality_Any_Cause_sex_diff_z,Mortality_Any_Cause_race_diff_z,Hospitalization_Any_Dx_overall_z,Hospitalization_Any_Dx_sex_diff_z,Hospitalization_Any_Dx_race_diff_z,Hospitalization_Principal_Dx_overall_z,Hospitalization_Principal_Dx_sex_diff_z,Hospitalization_Principal_Dx_race_diff_z,COPD_Prevalence_yoy_change_z,Smoking_Rate_yoy_change_z,Mortality_Underlying_yoy_change_z,Mortality_Any_Cause_yoy_change_z,Hospitalization_Any_Dx_yoy_change_z,Hospitalization_Principal_Dx_yoy_change_z,Smoking_vs_Prevalence_Diff_z,Mortality_Any_vs_Underlying_Diff_z
PA,2021,-0.055520682642588866,1.3956096909187805,-0.6639045082602798,-0.3355967024718898,1.7236708517169979,2.257357641054741e-16,-0.9574968295507182,-0.23522443816345806,1.4405348700853813,-0.7151914325960157,-0.31304146478910533,0.3436053575583859,1.2119155705389053,1.8231400763732801,1.7929685762908851,0.35981636333093686,0.21623272816115421,2.2339711749454456,-0.8556363029826864,-1.411803318549703,-0.7964582972123229,-1.0693352117728334,1.2399172894065256,0.3852751203339185,-0.35769066158969415,-0.45426659042308715
PA,2022,0.288868479256369,-1.0264135038338467,2.3449838135798875,0.0,0.0,2.257357641054741e-16,0.0,3.0366463628323904e-16,0.0,-7.505752365952164e-16,4.727690210316963e-16,0.0,6.135152441222987e-16,0.0,0.0,0.0,1.9741898968474384e-16,0.0,1.0959734271573374,0.20053595524578743,0.4344945957905899,-0.4241706759356143,0.4066109580156389,0.559052734645644,-7.978394017264205e-16,0.0
PR,2019,-0.9164935873899835,0.3758104510229375,1.2848219590125777e-17,-3.2498866750733577,1.685094640284529,2.257357641054741e-16,0.0,3.0366463628323904e-16,0.0,-7.505752365952164e-16,4.727690210316963e-16,0.0,6.135152441222987e-16,0.0,0.0,0.0,1.9741898968474384e-16,0.0,-0.07499241092667684,0.20053595524578743,0.4344945957905899,-0.4241706759356143,0.4066109580156389,0.559052734645644,-3.3192316304131473,0.0
PR,2020,-0.5721044254910257,0.2483355460359571,1.2848219590125777e-17,-3.185411233201644,0.0,2.257357641054741e-16,0.0,3.0366463628323904e-16,0.0,-7.505752365952164e-16,4.727690210316963e-16,0.0,6.135152441222987e-16,0.0,0.0,0.0,1.9741898968474384e-16,0.0,1.0959734271573374,0.2911168133241857,0.4344945957905899,-0.4241706759356143,0.4066109580156389,0.559052734645644,-3.3332673696018844,0.0
PR,2021,-0.801697200090331,-0.38903897889894484,1.2848219590125777e-17,-3.3530473820681,0.0,2.257357641054741e-16,0.0,3.0366463628323904e-16,0.0,-7.505752365952164e-16,4.727690210316963e-16,0.0,6.135152441222987e-16,0.0,0.0,0.0,1.9741898968474384e-16,0.0,-0.8556363029826864,-0.03497427575804824,0.4344945957905899,-0.4241706759356143,0.4066109580156389,0.559052734645644,-3.459589022300515,0.0
PR,2022,-0.7442990064405046,1.0131849759578393,1.2848219590125777e-17,0.0,0.0,2.257357641054741e-16,0.0,3.0366463628323904e-16,0.0,-7.505752365952164e-16,4.727690210316963e-16,0.0,6.135152441222987e-16,0.0,0.0,0.0,1.9741898968474384e-16,0.0,0.12016856208732553,0.20053595524578743,0.4344945957905899,-0.4241706759356143,0.4066109580156389,0.559052734645644,-7.978394017264205e-16,0.0
RI,2019,0.059275704657063756,1.0131849759578393,-0.8953574560941389,-1.2124627119271987,-1.7353294400610324,2.257357641054741e-16,-0.5393356857067423,-1.3949356216670064,0.0,-0.23688034724412685,-0.9092069331352892,-1.5782591498506076,1.8780641173029702,0.10176370562848734,-0.7539832898447171,4.001802781213019,-4.1225561831336,1.1675558669847599,-0.07499241092667684,0.20053595524578743,0.4344945957905899,-0.4241706759356143,0.4066109580156389,0.559052734645644,-1.3401924048012663,-0.005475848576579234
RI,2020,0.059275704657063756,0.2483355460359571,1.2848219590125777e-17,2.2821062375196943,0.7978417773377479,2.257357641054741e-16,-1.0122095025770323,-0.6400292852354506,0.0,-0.028992490359737298,0.8579978480337582,-2.1635985937315194,0.9105729356449868,0.08773619154791418,-0.521796993130923,1.1940143696614698,0.0028496669499351317,-1.3141392362992133,-0.07499241092667684,5.110018463094978,-1.8222523747147479,0.498564648575757,-3.1235204004852677,-4.052737799011675,2.4634929153463916,0.6167113162560791
RI,2021,-0.5147062318411993,1.5230845959057608,1.2848219590125777e-17,0.012570683635365247,1.5950834802754352,2.257357641054741e-16,-1.3365774926616119,-1.7122150963991116,0.0,-0.32138760614022,-0.6281574980578035,-1.5294808628605314,1.1449985097816597,-0.17077085365124353,-1.0527499365623223,1.259122506740926,-2.8956035811691003,-1.6867899387092673,-2.0266021410667006,-2.987910249113834,-1.1135219211676186,-1.7220016608174613,1.2619707650955094,0.665992804991321,0.13356021001609197,0.3872160505391157
RI,2022,0.0018775110072374464,0.885710070970859,1.2848219590125777e-17,0.0,0.0,2.257357641054741e-16,0.0,3.0366463628323904e-16,0.0,-7.505752365952164e-16,4.727690210316963e-16,0.0,6.135152441222987e-16,0.0,0.0,0.0,1.9741898968474384e-16,0.0,1.6814563461993446,0.20053595524578743,0.4344945957905899,-0.4241706759356143,0.4066109580156389,0.559052734645644,-7.978394017264205e-16,0.0
